"PASSAGE_COUNT","PASSENGER_COUNT","transaction_Month","transaction_Year","LINE","STATION_NAME","STATION_NUMBER","TOWN","LATITUDE","LONGITUDE"
208349,57982,2,2020,EDİRNEKAPI-SULTANÇİFTLİĞİ,Hacışükrü,HCS-HCS,Sultangazi,"41.0925555555556","28.8641388888889"
215728,97892,2,2020,EDİRNEKAPI-SULTANÇİFTLİĞİ,Metris,MRS-MRS,Gaziosmanpaşa,"41.0803055555556","28.8756666666667"
167174,62038,2,2020,EDİRNEKAPI-SULTANÇİFTLİĞİ,Rami,RMI-RMI,EyüpSultan,"41.0460833333333","28.9159722222222"
281538,80267,2,2020,EDİRNEKAPI-SULTANÇİFTLİĞİ,Taşköprü,TSH-TSH,Bayrampaşa,"41.0723333333333","28.8883055555556"
100926,30672,2,2020,EDİRNEKAPI-SULTANÇİFTLİĞİ,Topçular,TPC-TPC,EyüpSultan,"41.0416666666667","28.9196388888889"
215073,56317,2,2020,EDİRNEKAPI-SULTANÇİFTLİĞİ,Çukurçeşme,CKR-CKR,Bayrampaşa,"41.0616388888889","28.90225"
679887,246043,2,2020,KABATAŞ-BAĞCILAR,Beyazıt,BYZ-KBT,Fatih,"41.0090277777778","28.9666388888889"
361822,142422,2,2020,KABATAŞ-BAĞCILAR,Fındıkzade,FND-KBT,Fatih,"41.0116666666667","28.9406388888889"
106712,27235,2,2020,KABATAŞ-BAĞCILAR,Güneştepe,GNT-KBT,Güngören,"41.0290277777778","28.8609166666667"
122773,54824,2,2020,KABATAŞ-BAĞCILAR,Haseki,HSK-KBT,Fatih,"41.0109722222222","28.9430277777778"
466243,233177,2,2020,KABATAŞ-BAĞCILAR,Karaköy,KAR-KBT,Beyoğlu,"41.0220833333333","28.9747222222222"
75185,23719,2,2020,KABATAŞ-BAĞCILAR,Mithatpaşa,MPS-KBT,Zeytinburnu,"41.0034166666667","28.8998055555556"
121221,36957,2,2020,KABATAŞ-BAĞCILAR,Mithatpaşa,MPS-KBT,Zeytinburnu,"41.0035277777778","28.9024444444444"
497511,245121,2,2020,KABATAŞ-BAĞCILAR,Sirkeci,EMI-SRK,Fatih,"41.0151388888889","28.9758888888889"
256128,69357,2,2020,KABATAŞ-BAĞCILAR,Soğanlı,SGN-KBT,Güngören,"41.0207222222222","28.8673888888889"
365120,139501,2,2020,KABATAŞ-BAĞCILAR,Topkapı,TPK-KBT,Zeytinburnu,"41.0190833333333","28.9188611111111"
462657,187206,2,2020,KABATAŞ-BAĞCILAR,Yusufpaşa,AKE-KBT,Fatih,"41.0100833333333","28.9465555555556"
251817,80962,2,2020,KABATAŞ-BAĞCILAR,Zeytinburnu 2,ZEY-KBT,Bakırköy,"41.0015833333333","28.8893888888889"
365649,123734,2,2020,KABATAŞ-BAĞCILAR,Çemberlitaş,CTS-KBT,Fatih,"41.0084444444444","28.9710277777778"
750601,330430,2,2020,KADIKÖY-KARTAL METROSU,Ayrılıkçeşme,AYC-AY1,Kadıköy,"40.9998888888889","29.0303611111111"
63506,30102,2,2020,KADIKÖY-KARTAL METROSU,Bostancı,BST-BT1,Kadıköy,"40.9645833333333","29.1046666666667"
146440,56000,2,2020,KADIKÖY-KARTAL METROSU,Bostancı (Doğu),BST-BT2,Kadıköy,"40.9645833333333","29.1046666666667"
150984,47651,2,2020,KADIKÖY-KARTAL METROSU,Gülsuyu,GLS-GLS,Maltepe,"40.9237777777778","29.1549166666667"
247759,67603,2,2020,KADIKÖY-KARTAL METROSU,Huzurevi,HZE-HZE,Maltepe,"40.9300555555556","29.1468611111111"
854797,399860,2,2020,KADIKÖY-KARTAL METROSU,Kadıköy (Doğu),KAD-KD1,Kadıköy,"40.9907222222222","29.0229444444444"
169692,65709,2,2020,KADIKÖY-KARTAL METROSU,Kartal (Batı),KRL-KR2,Kartal,"40.9066944444444","29.2106666666667"
98319,46051,2,2020,KADIKÖY-KARTAL METROSU,Kartal (Doğu),KRL-KR1,Kartal,"40.90625","29.2115833333333"
247809,77973,2,2020,KADIKÖY-KARTAL METROSU,Soğanlık,SGL-SGL,Kartal,"40.9128611111111","29.1933055555556"
245132,91265,2,2020,KADIKÖY-KARTAL METROSU,Yenisahra,YSR-YSR,Kadıköy,"40.9845555555556","29.09"
647364,263356,2,2020,KADIKÖY-KARTAL METROSU,Ünalan,UNL-UNL,Üsküdar,"40.9978888888889","29.0610277777778"
154907,46639,2,2020,KİRAZLI-OLİMPİYATKÖY,Başak Konutları,BSK-BSK,Başakşehir,"41.0974166666667","28.7910555555556"
127940,46354,2,2020,KİRAZLI-OLİMPİYATKÖY,Metrokent,MTK-MTK,Başakşehir,"41.10775","28.8012777777778"
2,2,2,2020,KİRAZLI-OLİMPİYATKÖY,Olimpiyat Doğu,OLP-OL2,Başakşehir,"41.0794722222222","28.7683888888889"
60692,15180,2,2020,KİRAZLI-OLİMPİYATKÖY,Siteler,STR-STR,Başakşehir,"41.0881944444444","28.7964166666667"
93107,32466,2,2020,KİRAZLI-OLİMPİYATKÖY,İstoç,ITC-ITC,Bağcılar,"41.0645","28.8267777777778"
50225,15304,2,2020,LEVENT - RUMELİ HİSARÜSTÜ,Levent Batı konkors,LVT-LVB,Şişli,"41.0760277777778","29.0145833333333"
71847,32550,2,2020,LEVENT - RUMELİ HİSARÜSTÜ,Nispetiye,NSP-NSP,Beşiktaş,"41.0773888888889","29.0236666666667"
135900,44677,2,2020,MARMARAY,Atalar,ATA-MR1,Kartal,"40.8988888888889","29.1692222222222"
81799,30731,2,2020,MARMARAY,Aydıntepe,AYD-MR1,Tuzla,"40.8526944444444","29.2931944444444"
72338,26406,2,2020,MARMARAY,Başak,BSA-MR1,Kartal,"40.89075","29.1771944444444"
103711,46487,2,2020,MARMARAY,Bostancı-2,BTI-MR2,Kadıköy,"40.9544166666667","29.0929444444444"
76332,21129,2,2020,MARMARAY,Cevizli-1,CVZ-MR1,Kartal,"40.9095","29.15625"
93493,34147,2,2020,MARMARAY,Cevizli-2,CVZ-MR2,Kartal,"40.9105","29.1558333333333"
224866,78379,2,2020,MARMARAY,Erenköy,ERK-MR1,Kadıköy,"40.9718611111111","29.0762777777778"
80701,28282,2,2020,MARMARAY,Fatih,FAT-MR1,Gebze,"40.8085555555556","29.3639444444444"
159775,59501,2,2020,MARMARAY,Feneryolu,FNY-MR1,Kadıköy,"40.9789166666667","29.0489444444444"
182296,63382,2,2020,MARMARAY,Göztepe,GZT-MR1,Kadıköy,"40.9792777777778","29.0626388888889"
241305,100311,2,2020,MARMARAY,Halkalı,HAL-MR1,Küçükçekmece,"41.0194722222222","28.7686388888889"
187495,80714,2,2020,MARMARAY,Kartal,KTL-MR1,Kartal,"40.8886666666667","29.1912222222222"
237799,99586,2,2020,MARMARAY,Küçükçekmece,KCC-MR1,Küçükçekmece,"40.9885","28.7729444444444"
153304,41831,2,2020,MARMARAY,M.kemal,MKE-MR1,Küçükçekmece,"41.0063055555556","28.7744722222222"
350548,170753,2,2020,MARMARAY,Pendik,PEN-MR1,Pendik,"40.8800555555556","29.2312222222222"
552097,307526,2,2020,MARMARAY,Sirkeci-1,EMI-MR1,Fatih,"41.0151388888889","28.9760555555556"
70101,24635,2,2020,MARMARAY,Sirkeci-2,EMI-MR2,Fatih,"41.0137777777778","28.9764444444444"
345460,80822,2,2020,MARMARAY,Sirkeci-4,EMI-MR4,Fatih,"41.013","28.9750555555556"
255894,152387,2,2020,MARMARAY,Sögütlüçeşme,SCM-MR2,Kadıköy,"40.9928055555556","29.0364722222222"
33782,17646,2,2020,MARMARAY,Tersane-2,TER-MR2,Pendik,"40.8611666666667","29.2732222222222"
115486,42201,2,2020,MARMARAY,Tuzla,TUZ-MR1,Tuzla,"40.8311388888889","29.3224722222222"
1153640,534958,2,2020,MARMARAY,Yenikapı-2,YNK-MR2,Fatih,"41.0051666666667","28.9516111111111"
120511,39813,2,2020,MARMARAY,Yeşilköy,YED-MR1,Bakırköy,"40.9629722222222","28.8249166666667"
51593,23595,2,2020,MARMARAY,Yunus,YUN-MR1,Kartal,"40.8850833333333","29.2104722222222"
359122,104244,2,2020,MARMARAY,Zeytinburnu,ZBR-MR1,Zeytinburnu,"40.9853333333333","28.9056944444444"
543409,241573,2,2020,MARMARAY,Üsküdar-2,USE-MR2,Üsküdar,"41.0256111111111","29.015"
126845,50694,2,2020,MARMARAY,İçmeler,ICM-MR1,Tuzla,"40.8457777777778","29.3000555555556"
427000,148782,2,2020,TAKSİM-4.LEVENT,"4 Levent 2 Güney",L44-L44,Kağıthane,"41.0857222222222","29.0068611111111"
146160,46092,2,2020,TAKSİM-4.LEVENT,Atatürk Oto Sanayi Güney,AOS-AOS,Şişli,"41.11875","29.0238055555556"
97891,34585,2,2020,TAKSİM-4.LEVENT,Atatürk Oto Sanayi Kuzey,A1S-A1S,Şişli,"41.11875","29.0238055555556"
