TRAFFIC_INDEX_DATE,MINIMUM_TRAFFIC_INDEX,MAXIMUM_TRAFFIC_INDEX,AVERAGE_TRAFFIC_INDEX
2019-11-11 00:00:00 +0000 UTC,2,255,32
2019-11-12 00:00:00 +0000 UTC,4,63,29
2019-11-13 00:00:00 +0000 UTC,2,65,28
2019-11-14 00:00:00 +0000 UTC,4,76,34
2019-11-15 00:00:00 +0000 UTC,4,72,33
2019-11-16 00:00:00 +0000 UTC,2,255,33
2019-11-17 00:00:00 +0000 UTC,1,58,25
2019-11-18 00:00:00 +0000 UTC,2,255,32
2019-11-19 00:00:00 +0000 UTC,4,74,32
2019-11-20 00:00:00 +0000 UTC,6,255,44
2019-11-21 00:00:00 +0000 UTC,4,76,33
2019-11-22 00:00:00 +0000 UTC,4,76,34
2019-11-23 00:00:00 +0000 UTC,4,62,30
2019-11-24 00:00:00 +0000 UTC,1,54,25
2019-11-25 00:00:00 +0000 UTC,2,65,27
2019-11-26 00:00:00 +0000 UTC,9,255,43
2019-11-27 00:00:00 +0000 UTC,8,67,32
2019-11-28 00:00:00 +0000 UTC,2,255,31
2019-11-29 00:00:00 +0000 UTC,4,72,35
2019-11-30 00:00:00 +0000 UTC,2,255,30
2019-12-01 00:00:00 +0000 UTC,2,255,24
2019-12-02 00:00:00 +0000 UTC,2,69,29
2019-12-03 00:00:00 +0000 UTC,4,74,33
2019-12-04 00:00:00 +0000 UTC,13,69,40
2019-12-05 00:00:00 +0000 UTC,6,74,35
2019-12-06 00:00:00 +0000 UTC,4,76,32
2019-12-07 00:00:00 +0000 UTC,4,255,29
2019-12-08 00:00:00 +0000 UTC,1,255,18
2019-12-09 00:00:00 +0000 UTC,2,65,28
2019-12-10 00:00:00 +0000 UTC,4,255,31
2019-12-11 00:00:00 +0000 UTC,4,80,33
2019-12-12 00:00:00 +0000 UTC,6,67,32
2019-12-13 00:00:00 +0000 UTC,9,69,35
2019-12-14 00:00:00 +0000 UTC,4,62,31
2019-12-15 00:00:00 +0000 UTC,1,255,20
2019-12-16 00:00:00 +0000 UTC,1,69,29
2019-12-17 00:00:00 +0000 UTC,4,67,32
2019-12-18 00:00:00 +0000 UTC,8,72,33
2019-12-19 00:00:00 +0000 UTC,4,69,32
2019-12-20 00:00:00 +0000 UTC,4,72,33
2019-12-21 00:00:00 +0000 UTC,2,58,29
2019-12-22 00:00:00 +0000 UTC,2,45,21
2019-12-23 00:00:00 +0000 UTC,4,255,35
2019-12-24 00:00:00 +0000 UTC,6,67,36
2019-12-25 00:00:00 +0000 UTC,4,255,34
2019-12-26 00:00:00 +0000 UTC,9,255,40
2019-12-27 00:00:00 +0000 UTC,8,255,38
2019-12-28 00:00:00 +0000 UTC,6,65,35
2019-12-29 00:00:00 +0000 UTC,8,42,21
2019-12-30 00:00:00 +0000 UTC,4,71,37
2019-12-31 00:00:00 +0000 UTC,6,62,32
2020-01-01 00:00:00 +0000 UTC,2,255,16
2020-01-02 00:00:00 +0000 UTC,4,255,36
2020-01-03 00:00:00 +0000 UTC,9,63,30
2020-01-04 00:00:00 +0000 UTC,1,45,22
2020-01-05 00:00:00 +0000 UTC,2,45,19
2020-01-06 00:00:00 +0000 UTC,15,80,44
2020-01-07 00:00:00 +0000 UTC,17,80,44
2020-01-08 00:00:00 +0000 UTC,15,74,37
2020-01-09 00:00:00 +0000 UTC,9,255,35
2020-01-10 00:00:00 +0000 UTC,6,74,34
2020-01-11 00:00:00 +0000 UTC,4,255,28
2020-01-12 00:00:00 +0000 UTC,2,255,18
2020-01-13 00:00:00 +0000 UTC,6,60,28
2020-01-14 00:00:00 +0000 UTC,6,65,31
2020-01-15 00:00:00 +0000 UTC,6,63,30
2020-01-16 00:00:00 +0000 UTC,4,69,32
2020-01-17 00:00:00 +0000 UTC,6,81,37
2020-01-18 00:00:00 +0000 UTC,9,255,33
2020-01-19 00:00:00 +0000 UTC,4,255,25
2020-01-20 00:00:00 +0000 UTC,11,74,38
2020-01-21 00:00:00 +0000 UTC,8,71,34
2020-01-22 00:00:00 +0000 UTC,4,71,33
2020-01-23 00:00:00 +0000 UTC,6,255,34
2020-01-24 00:00:00 +0000 UTC,4,71,33
2020-01-25 00:00:00 +0000 UTC,6,60,31
2020-01-26 00:00:00 +0000 UTC,4,255,26
2020-01-27 00:00:00 +0000 UTC,4,65,30
2020-01-28 00:00:00 +0000 UTC,11,67,36
2020-01-29 00:00:00 +0000 UTC,6,83,35
2020-01-30 00:00:00 +0000 UTC,13,67,37
2020-01-31 00:00:00 +0000 UTC,6,71,34
2020-02-01 00:00:00 +0000 UTC,8,255,31
2020-02-02 00:00:00 +0000 UTC,2,53,23
2020-02-03 00:00:00 +0000 UTC,1,60,28
2020-02-04 00:00:00 +0000 UTC,9,255,33
2020-02-05 00:00:00 +0000 UTC,6,83,39
2020-02-06 00:00:00 +0000 UTC,8,74,35
2020-02-07 00:00:00 +0000 UTC,6,76,32
2020-02-08 00:00:00 +0000 UTC,15,255,29
2020-02-09 00:00:00 +0000 UTC,2,31,15
2020-02-10 00:00:00 +0000 UTC,2,255,31
2020-02-11 00:00:00 +0000 UTC,6,65,33
2020-02-12 00:00:00 +0000 UTC,9,65,34
2020-02-13 00:00:00 +0000 UTC,6,67,32
2020-02-14 00:00:00 +0000 UTC,6,72,33
2020-02-15 00:00:00 +0000 UTC,6,255,31
2020-02-16 00:00:00 +0000 UTC,4,255,21
2020-02-17 00:00:00 +0000 UTC,4,63,30
2020-02-18 00:00:00 +0000 UTC,6,255,32
2020-02-19 00:00:00 +0000 UTC,6,255,32
2020-02-20 00:00:00 +0000 UTC,6,255,40
2020-02-21 00:00:00 +0000 UTC,13,65,44
2020-02-22 00:00:00 +0000 UTC,4,56,28
2020-02-23 00:00:00 +0000 UTC,1,47,21
2020-02-24 00:00:00 +0000 UTC,6,60,29
2020-02-25 00:00:00 +0000 UTC,4,65,31
2020-02-26 00:00:00 +0000 UTC,6,255,33
2020-02-27 00:00:00 +0000 UTC,6,255,37
2020-02-28 00:00:00 +0000 UTC,6,67,33
2020-02-29 00:00:00 +0000 UTC,4,58,34
2020-03-01 00:00:00 +0000 UTC,2,47,23
2020-03-02 00:00:00 +0000 UTC,2,65,31
2020-03-03 00:00:00 +0000 UTC,4,90,35
2020-03-04 00:00:00 +0000 UTC,1,62,30
2020-03-05 00:00:00 +0000 UTC,4,76,34
2020-03-06 00:00:00 +0000 UTC,6,67,36
2020-03-07 00:00:00 +0000 UTC,4,255,32
2020-03-08 00:00:00 +0000 UTC,2,49,23
2020-03-09 00:00:00 +0000 UTC,2,255,31
2020-03-10 00:00:00 +0000 UTC,6,74,38
2020-03-11 00:00:00 +0000 UTC,6,69,33
2020-03-12 00:00:00 +0000 UTC,4,72,32
2020-03-13 00:00:00 +0000 UTC,6,255,38
2020-03-14 00:00:00 +0000 UTC,6,51,25
2020-03-15 00:00:00 +0000 UTC,1,42,19
2020-03-16 00:00:00 +0000 UTC,8,255,31
2020-03-17 00:00:00 +0000 UTC,4,255,24
2020-03-18 00:00:00 +0000 UTC,4,255,22
2020-03-19 00:00:00 +0000 UTC,4,40,18
2020-03-20 00:00:00 +0000 UTC,2,255,17
2020-03-21 00:00:00 +0000 UTC,1,15,8
2020-03-22 00:00:00 +0000 UTC,1,87,5
2020-03-23 00:00:00 +0000 UTC,2,33,15
2020-03-24 00:00:00 +0000 UTC,4,255,17
2020-03-25 00:00:00 +0000 UTC,6,255,15
2020-03-26 00:00:00 +0000 UTC,4,20,11
2020-03-27 00:00:00 +0000 UTC,1,20,12
2020-03-28 00:00:00 +0000 UTC,1,17,8
2020-03-29 00:00:00 +0000 UTC,4,20,10
2020-03-30 00:00:00 +0000 UTC,2,255,11
2020-03-31 00:00:00 +0000 UTC,2,20,10
2020-04-01 00:00:00 +0000 UTC,4,20,11
2020-04-02 00:00:00 +0000 UTC,4,255,15
2020-04-03 00:00:00 +0000 UTC,2,255,11
2020-04-04 00:00:00 +0000 UTC,1,255,8
2020-04-05 00:00:00 +0000 UTC,6,255,11
2020-04-06 00:00:00 +0000 UTC,4,255,12
2020-04-07 00:00:00 +0000 UTC,4,17,10
2020-04-08 00:00:00 +0000 UTC,2,255,10
2020-04-09 00:00:00 +0000 UTC,2,17,8
2020-04-10 00:00:00 +0000 UTC,1,255,10
2020-04-11 00:00:00 +0000 UTC,1,255,9
2020-04-12 00:00:00 +0000 UTC,1,255,11
2020-04-13 00:00:00 +0000 UTC,1,255,10
2020-04-14 00:00:00 +0000 UTC,2,255,10
2020-04-15 00:00:00 +0000 UTC,6,255,16
2020-04-16 00:00:00 +0000 UTC,4,255,14
2020-04-17 00:00:00 +0000 UTC,1,24,12
2020-04-18 00:00:00 +0000 UTC,1,15,7
2020-04-19 00:00:00 +0000 UTC,1,13,6
2020-04-20 00:00:00 +0000 UTC,1,255,11
2020-04-21 00:00:00 +0000 UTC,2,255,17
2020-04-22 00:00:00 +0000 UTC,1,255,14
2020-04-23 00:00:00 +0000 UTC,1,255,9
2020-04-24 00:00:00 +0000 UTC,1,17,7
2020-04-25 00:00:00 +0000 UTC,1,255,7
2020-04-26 00:00:00 +0000 UTC,1,13,6
2020-04-27 00:00:00 +0000 UTC,1,255,13
2020-04-28 00:00:00 +0000 UTC,1,255,13
2020-04-29 00:00:00 +0000 UTC,1,255,15
2020-04-30 00:00:00 +0000 UTC,1,255,15
2020-05-01 00:00:00 +0000 UTC,1,255,7
2020-05-02 00:00:00 +0000 UTC,1,18,7
2020-05-03 00:00:00 +0000 UTC,1,255,10
2020-05-04 00:00:00 +0000 UTC,6,255,27
2020-05-05 00:00:00 +0000 UTC,1,255,17
2020-05-06 00:00:00 +0000 UTC,1,255,15
