route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
7339,37,BAHÇELİEVLER METRO İST-KALE İŞ M-BAĞCILAR 2,100.YIL MH - BAĞCILAR - TOPKAPI,,9,,,
7147,37,Ş.EVLER-KULELİ-MASKO-AYMAKOP-ONURKENT-KAYAŞEHİR,KULELİ - DEPREM KONUTLARI - ONURKENT - KAYAŞEHİR,,9,,,
7255,37,ÜMRANİYE-ÇAKMAK-DUDULLU-ŞAHİNBEY,ÜMRANİYE - DUDULLU - ÇEKMEKÖY - ŞAHİNBEY,,9,,,
7352,37,ŞİLE-KUMBABA-MEŞRUTİYET KÖYÜ-AHMETLİ TOKİ,ŞİLE - KUMBABA - MEŞRUTİYET KÖYÜ-AHMETLİ TOKİ,,9,,,
7448,37,BAKIRKÖY-ŞİRİNEVLER-FATİH MH.,BAKIRKÖY - İKİTELLİ - MAHMUTBEY,,9,,,
7519,37,KADIKÖY-ACIBADEM-K.ÇAMLICA-BULGURLU,KADIKÖY - ACIBADEM - ÜNALAN MH. - BULGURLU MH.,,9,,,
7485,37,AĞVA - GÖÇE-GEREDELİ-KALEMKÖY,AĞVA-GÖÇE-GEREDELİ-KALEMKÖY,,9,,,
7218,37,GÜZELTEPE-İSTOÇ,KARAYOLLARI-İ.H.L - ALİBEYKÖY - EYÜP - EDİRNEKAPI -TOPKAPI,,9,,,
7447,37,İNCİRLİ- EVREN MAH-İSTOÇ,İNCİRLİ - EVREN MH. - BAĞCILAR,,9,,,
7140,37,AVCILAR-KIRAÇ,AVCILAR - ESENYURT,,9,,,
7161,37,YAHYA KEMAL- ŞİŞLİ,ŞİŞLİ - ÇAĞLAYAN - Y.KEMAL - GÜLTEPE - 4.LEVENT,,9,,,
7116,37,GOP-CENGİZ TOPEL CAD.-İMAR BLOKLARI,GAZİOSMANPAŞA – İMAR BLOKLARI,,9,,,
7163,37,YAHYA KEMAL-DERE CADDESİ-NOBEL İLAÇ FABRİKASI,ŞİŞLİ - ÇAĞLAYAN - Y.KEMAL - GÜLTEPE - 4.LEVENT,,9,,,
7241,37,SİLAHTARAĞA CAD.-GOP-OTOGAR 2,YILDIZTABYA - PAZARİÇİ - GOP - TOPKAPI,,9,,,
7361,37,EVREN MAH-BAĞCILAR DEVLET HASTANESİ,İNCİRLİ - EVREN MH. - BAĞCILAR,,9,,,
7400,37,BOSTANCI-K.BAKKALKÖY-ŞERİFALİ ÇİFTLİĞİ-DUDULLU,BOSTANCI - DUDULLU,,9,,,
7217,37,OTOGAR-BAYRAMPAŞA-KÜÇÜKKÖY-YUNUS EMRE MAH 2,CEVATPAŞA - B.PAŞA - OTOGAR - EYÜP - EDİRNEKAPI,,9,,,
7418,37,KADIKÖY-YENİSAHRA-BATI ATAŞEHİR-ARMAĞANEVLER,KADIKÖY - YENİSAHRA - ARMAĞANEVLER,,9,,,
7263,37,CEBECİ-KÜÇÜKKÖY-EYÜP,CEBECİ - GAZİ MH - KÜÇÜKKÖY - GAZİOSMANPAŞA - EYÜP,,9,,,
7247,37,KADIKÖY-CAPİTOL-EMNİYET MAHALLESİ,KADIKÖY - POLİS HASTANESİ-EMNİYET MAHALLESİ,,9,,,
7397,37,ÜSKÜDAR-BAĞLARBAŞI-KISIKLI-ÖRNEK MAH.-ESATPAŞA,ÜSKÜDAR - ÖRNEK MH. - ESATPAŞA MH.,,9,,,
7433,37,KARTAL-HÜRRİYET MAHALLESİ-AKYILMAZ KONUTLARI,KARTAL - HÜRRİYET MH. - KARTAL CEZAEVİ,,9,,,
7233,37,ÜMRANİYE-TALİMHANE-ÇENGELKÖY,ÜSKÜDAR - ÇENGELKÖY - TALİMHANE - ÜMRANİYE,,9,,,
7115,37,ESENTEPE MH. - KÜÇÜKKÖY - GAZİOSMANPAŞA-EYÜP,ESENTEPE MH. - KÜÇÜKKÖY - GAZİOSMANPAŞA-EYÜP,,9,,,
7158,37,SOĞUKSU-BASINKÖY,KÜÇÜKÇEKMECE - SEFAKÖY - SULTAN MURAT,,9,,,
7389,37,KADIKÖY-KOŞUYOLU-ÜMRANİYE,KADIKÖY - KOŞUYOLU - ÜMRANİYE,,9,,,
7254,37,TERSANE-İÇMELER KÖPRÜSÜ RİNG,TERSANELER - TUZLA - AYDINLI - ORHANLI,,9,,,
7441,37,SULTANBEYLİ-FERHATPAŞA (YEDİTEPE ÜNİVERSİTESİ),SULTANBEYLİ - SARIGAZİ - DUDULLU,,9,,,
7243,37,ÜMRANİYE-N.KEMAL-M.KML-ÖRN.MH-GÖZ.EĞ.AR.H.,ÜMRANİYE - M.KEMAL MH. - ÖRNEK MH.,,9,,,
